mz,RT,feature,Omni14,Omni8,Omni12,Omni3,Omni2,Omni10,Omni13,Omni7,Omni4,Omni11,Omni9,Omni1,Omni15,Omni6,Omni5
466.76328767651,159.92485000001,f1303,14226.0211490625,121845.845946504,2432.78171711136,26527.5796939752,0,0,53622.7068260629,0,0,0,9929.61235090042,0,0,0,24989.9601874594
466.791167654751,1459.56989999998,f1304,109552.172369374,75959.8206908565,151338.449870027,128150.53912521,258635.256048919,50876.2466435748,93413.2179680508,33446.0587656668,127685.247041672,70919.1214837282,98889.0829888369,161810.388893297,56014.8472457238,3004.88185930252,142660.497448808
466.881378712767,79.24855000001,f1305,113220.170265589,151355.519020788,134889.134704224,115086.247825272,132004.621441031,92314.0747134651,102619.639934875,120685.827348659,91499.7856944674,109466.165899449,109752.565989285,107040.399065443,111292.659878775,84788.1444363216,123786.679365881
466.889340164196,66.45040000002,f1306,45436.4858196974,33977.0602558991,42254.1470491495,51871.5849821521,20678.4779134775,43329.9944066186,19461.8261210974,32704.3548592133,45139.5011949539,39340.0722837821,23482.2809194,58861.741300032,30544.6030207397,43677.5359919621,35098.2635865184
466.917804185587,66.11994999998,f1307,44351.3582498291,42105.9549618103,46884.8297706555,53495.2642996471,27781.8333290189,37772.1120106615,21001.056984098,27250.4423791093,37541.8625729833,34272.991005,16812.9299439937,77826.3415799886,28729.3770079815,39570.254663151,38286.8450928926
467.762945870845,1458.64269999998,f1308,7912.21265023202,28382.8449089401,20411.0615258422,3411.87681242824,28478.3485451585,26812.5438965999,22230.8400634637,0,24371.4667262511,16216.3579139317,2559.57345236838,22523.1205069423,28517.2837465637,0,28916.0461107433
468.676077864874,1302.21679999998,f1309,0,2780.94659036398,3151.92611445983,31527.3696775238,23303.3811073612,22671.1894397736,0,11919.2478603621,0,0,0,0,0,0,0
468.693773424157,1335.98689999999,f1310,0,31393.3466314599,0,0,91874.9435973733,0,28820.4469136724,0,69912.6404071691,22624.1248583972,0,42822.9948779295,0,9766.78978392854,51785.0496365321
468.757510974384,1458.64269999998,f1311,110751.885272572,231320.853074584,143189.758811573,204916.184382481,227010.460370414,214002.580479721,182260.284455834,194657.056695208,200512.265873228,165282.735686644,100552.351146588,233660.103619546,246382.669968141,116329.580982065,292370.184853129
468.788869558595,1461.43295000002,f1312,72997.5557748005,201930.432108164,84692.5922990084,49381.583402256,113369.826788897,12845.5675683419,40259.6121234398,5326.48105815798,49249.4491808929,31743.8134090916,88365.2799610049,68087.8752110748,24480.9820367002,2555.04761081189,66270.0538440633
468.883662952136,81.89450000002,f1313,848675.081272499,1301355.93964968,782272.266192983,862810.18877984,834510.746974658,82542.6467925322,1993739.30746078,278507.608203709,499516.656879213,511062.77091782,22092.973021759,606579.674376866,403910.436057187,463736.034029489,846044.544259569
468.884347485434,83.53450000002,f1314,21717.2125426526,637114.572563611,782272.266192983,862810.18877984,863536.338909381,14586.1161262247,2159189.31319256,299874.942315087,515831.279674556,511062.77091782,22053.8259030677,606579.674376866,403910.436057187,463736.034029489,23052.4927926929
468.896968407913,78.25079999998,f1315,2059339.27413946,3229360.1802186,1907721.56401963,1781290.89766544,2246235.66479481,1478155.16414491,2309790.27058249,1450002.86829576,1716659.74599174,1502913.69417748,1444262.53472835,1878756.08741212,1537540.35675816,1658295.48920643,1958060.60505445
468.915680299836,64.7654,f1316,13390.171289837,6661.43453178182,6032.07503199826,14453.5845856044,18303.0847554442,103876.735177333,2640.76969352318,11891.2577853525,7307.1700381202,8009.40662186081,5146.85921980627,15847.4330719447,10900.393912944,14565.7504352443,4307.27775386767
469.110470400672,1704.12579999998,f1317,2643.03392513394,0,2799.63176293969,0,0,4870.69364503026,24503.062508069,6637.47195629776,32658.4308763393,0,0,0,5997.45575012763,0,2347.61073840658
469.123760176807,539.14015,f1318,41613.881695915,61501.087677612,72062.1244153082,77799.7561162943,82802.7071158359,92304.0647731764,82157.0007402982,78056.2642732476,94709.9660621111,81957.7574126859,65592.5653170219,81240.9582497925,67969.7303620633,64909.499514075,72569.8043792816
469.182727978333,886.81245,f1319,5894.61475431919,34077.7299688272,51165.2740712696,35969.2074431102,74865.5398598051,35486.2755463421,8902.18245524168,28271.8207407594,29069.7330910396,12352.8969182173,28044.8191186786,56742.6757853404,0,47853.9763543755,64269.0128644511
469.760956278644,1459.95070000002,f1320,9617.06036033034,26786.9025637051,8156.51895360276,4177.16436031088,24319.3919747694,23459.8038111331,16406.2530849129,0,19513.9597801817,14910.163373816,6779.5528961122,25999.4948912915,24476.2546007979,0,33073.4463356203
